ID,Name,Arabic Name,Alternative Name,Arabic Alternative Name,Library of Congress Name,Arabic Library of Congress Name,Also Known As,Arabic Also Known As,Documentation,Arabic Documentation,All Nisba IDs,Date of Death,Arabic Date of Death,Date of Birth,Arabic Date of Birth,Group ID,Reference Number,Hidden
1,ʿAbbās b. Abī Bakr,عباس بن أبي بكر,,,,,,,,,[1924][268],,,,,,,
2,ʿAbbās b. Muḥammad Aknan,عباس بن محمد اكنن,,,,,,,,,,,,,,,,
3,ʿAbbās b. Muḥammad b. al-Sīdi,عباس بن محمد بن السيد,,,,,,,,,,,,,,,,
4,ʿAbd ʿAllāh b. Muḥammad Qadārada,عبد الله بن محمد قداردة,,,,,,,,,,,,,,,,
5,ʿAbd ... b. ʿAlī Yūsuf al-Fāsī,عبد ... بن علي يوسف الفاسي,,,,,,,,,[17],,,,,,,
6,ʿAbd al-ʿAlī b. ʿAbd al-Mālik b. ʿUmar al-Qurashī al-Butiji,عبد العالي بن عبد الملك بن عمر القرشي البوتيجي,,,,,,,,,[176][1929],,,,,,,
7,ʿAbd al-ʿAzīz al-Dīrīnī,عبد العزيز الديريني‏ ‬,,,,,,,,,[1269],697/1297-8,,,,,,
8,ʿAbd al-ʿAzīz b. ʿAbd al-Salām al-Salamī,عبد العزيز بن عبد السلام السلمي,,,,,ʿIzz al-Dīn,عز الدين,,,[696],,,,,,,
11,ʿAbd al-ʿAzīz b. ʿAbd al-Waḥīd al-Lamaṭī al-Miknasī,عبد العزيز بن عبد الوحيد اللمطي المكنسي,ʿAbd al-ʿAzīz b. ʿAbd al-Waḥīd al-Fāsī,عبد العزيز إبن عبد الواحد الفاسي,,,,,GAL S I 161; Zirikli IV 21,,[1713][17][91],880/1474   or 1557,,,,,,
13,ʿAbd al-ʿAzīz b. Aḥmad b. Saʿīd al-Dīrīnī al-Damīrī,عبد العزيز بن أحمد بن سعيد الديرني الدميري,,,,,ʿAbd al-ʿAzīz al-Dīrīnī,عبد العزيز الديريني,,,[1269][2340],607/1297,,,,,,
14,ʿAbd al-ʿAzīz b. al-Ḥasan al-Zayyātī,عبد العزيز بن الحسن الزياتي,,,,,,,,,[80],1055/1645,,,,,,
16,ʿAbd al-ʿAzīz b. al-Zayn,عبد العزيز بن الزين,,,,,,,"See also author # 6468, ʿAbd al-ʿAzīz b. Zayn b. Muḥammad Jubīhī al-Sῡqī, and author # 4823, Zayn b. ʿAbd al-ʿAzīz al-Jubahī.↵",,[1013][521],1355/1936-7,,,,,,
17,ʿAbd al-ʿAzīz b. Ibrāhīm,عبد العزيز بن إبراهيم,,,,,,,,,,,,,,,,
18,ʿAbd al-ʿAzīz b. Muḥammad b. ʿAlī b. Ibrāhīm b. Aḥmad al-Sūqī al-Jabihī,عبد العزيز بن محمد بن عالي بن إبراهيم بن أحمد السوقي الجبهي,,,,,,,,,[1965][521],,,,,,,
19,ʿAbd al-ʿAzīz b. Muḥammad Khalīl,عبد العزيز محمد خليل,,,,,,,,,,,,,,,,
21,ʿAbd al-Bāqī b. al-Amīn b. ʿAbd ad-Dāʾim ad-Daymānī,عبد الباقي بن الأمين بن عبد الدائم الديماني,,,,,,,Arabic Literature of Africa vol. V  p. 383,الأدب العربي في أفريقيا المجلد الخامس ص 383,[20],1230/1814-5,,,,11,,
23,ʿAbd al-Bāqi b. Yusuf al-Zurqānī,عبد الباقي بن يوسف الزرقاني,Muḥammad b. ʿAbd al-Bāqī al-Zurqānī,محمد بن عبد الباقي الزرقاني,http://id.loc.gov/authorities/names/no2006025851,,ʿAbd al-Bāqī,عبد الباقي,"GAL II 84, 318, S II 97-8, 438-9",,[40],1099/1688 or 1710,,1611,,,,
24,ʿAbd al-Bārī al-Rifāʿī al-ʿAshmāwī,عبد الباري الرفاعي العشماوي,,,,,ʿAshmāwī / ʿAbd al-Bārī,عشماوي / عبد الباري,GAL S II 435,,[1648][606],fl. 16th C,,,,,,
26,ʿAbd al-Bāsiṭ b. Khalīl b. Shāhīn al-Ḥanafī,عبد الباسط بن خليل بن شاهين الحنفي,,,,,ʿAbd al-Bāsiṭ al-Ḥanafī,عبد الباسط الحنفي,,,[279],,,,,,,
27,ʿAbd al-Dāʾim b. Aḥmad Abī al-Maʿālī al-Tāggāṭī,عبد الدائم بن أحمد أبي المعالي التاكاطي,,,,,,,,,[621],,,,,,,
28,ʿAbd al-Fattāḥ b. Sīdī Muḥammad b. ʿAbd al-Fattāḥ b. aṭ-Ṭālib Āʿlī al-Barakī at-Turkuzī,عبد الفتاح بن سيد محمد بن عبد الفتاح بن الطالب اعلي البركي التركزي,Limrābiṭ ʿAbd al-Fattāh at-Turkuzī (Muʿjam al-Brākna); Limrābiṭ ʿAbd al-Fattāḥ b. aṭ-Ṭālib Āʿlī (MLG),لمرابط عبد الفتاح (معجم البراكنة)؛ لمرابط عبد الفتاح بن الطالب اعلي (ربشتوك),,,,ʿ,Arabic Literature of Africa vol. V  p. 1517,الأدب العربي في أفريقيا المجلد الخامس ص 1517,[1462],,1368/1949,1279/1862,1279/1862,11,,
29,ʿAbd al-Ghānī b. Ismāʿīl al-Nāblusī,عبد الغني بن إسماعيل النابلسي,,,,,ʿAbd al-Ghānī al-Nāblusī,عبد الغني النابلسي,,,[1728][2006],1142/1730-1,,,,,,
30,ʿAbd al-Ghānī b. Ismāʿīl al-Shāmī,عبد الغني بن إسماعيل الشامي,,,,,,,"This title also appears among the works of ʿAbd al-Ghānī b. Ismāʿīl al-Nāblusī, suggesting a possible problem with the author attribution in this record.",,[673],1111/1699-00,,,,,,
31,ʿAbd al-Ḥāfiẓ b. Ibrāhīm b. ʿAbd al-Wahhāb b. ʿAlī al-Maʿalūṭī,عبد الحافظ بن إبراهيم بن عبد الوهاب بن علي‏ ‬المعلوطي,,,,,,,,,[1303],,,,,,,
32,ʿAbd al-Ḥamīd,عبد الحميد,,,,,,,,,,,,,,,,
33,ʿAbd al-Ḥamīd b. ʿAbd al-Majīd,عبد الحميد بن عبد المجيد,,,,,,,,,,,,,,,,
34,ʿAbd al-Ḥamīd b. Abī Bakr,عبد الحميد بن أبي بكر,,,,,,,,,,,,,,,,
35,ʿAbd al-Ḥamīd b. Bādīs al-Jazāʾirī,عبد الحميد بن باديس الجزائري,,,,,Ibn Bādīs,ابن باديس,,,[119],,,,,,,
36,ʿAbd al-Ḥaqq b. ʿAbd al-Raḥmān al-Azdī,عبد الحق بن عبد الرحمان الأزدي,,,,,,,,,[36],,,,,,,
37,ʿAbd al-Ḥaqq b. ʿAbd Allāh al-Makkī,عبد الحق بن عبد الله المكي,,,,,,,,,[565],,,,,,,
38,ʿAbd al-Ḥaqq b. ʿAlī al-Ḥaysūbī,عبد الحق بن علي الحيسوبي,,,,,Abū Muqriʿ,أبو مقرع,,,[355],,,,,,,
39,ʿAbd al-Ḥaqq b. ʿAlī al-Maqqraī,عبد الحق بن علي المقري,,,,,Abū Muḥammad,أبو محمد,,,[641],,,,,,,
40,ʿAbd al-Ḥayy b. aṭ-Ṭālib al-Intābī,عبد الحي بن الطالب الإنتابي,,,,,at-Tāb,التاب,Arabic Literature of Africa vol. V  p. 822,الأدب العربي في أفريقيا المجلد الخامس ص 822,[608],10 December 1984,توفي يوم 10 ديسمبر 1984,1332/1914,1332/1914,11,,
41,ʿAbd al-Jalīl b. Muḥammad b. Aḥmad al-Marādī al-Qayrawānī,عبد الجليل بن محمد بن احمد المرادي‏ ‬القيرواني‏,,,,,,,,,[78],,,,,,,
43,ʿAbd al-Kabīr b. ʿAbd al-Majīd,عبد الكبير بن عبد المجيد,,,,,ʿAbd al-Majīd,عبد المجيد,,,,,,,,,,
44,ʿAbd al-Kāfī,عبد الكافي,ʿAbd al-Kāfī b. Muḥammad al-Butushī,,,,,,,,,,,,,,,
45,ʿAbd al-Karīm b. Aḥmadhayyā al-Ḥasanī,عبد الكريم بن أحمذيا الحسني,,,,,,,Arabic Literature of Africa vol. V  p. 691,الأدب العربي في أفريقيا المجلد الخامس ص 691,[5],,,,,11,,
46,ʿAbd al-Karīm b. al-ʿArabī Banīs al-Fāsī,عبد الكريم بن العربي بنيس الفاسي,,,,,Banīs,بنيس,,,[17],,,,,,,
47,ʿAbd al-Karīm b. al-Ḥusaynī,عبد الكريم بن الحسيني,,,,,,,,,[459],,,,,,,
48,ʿAbd al-Karīm b. Hawāzin al-Qushayrī,عبد الكريم بن هوازن القشيري,,,,,Zayn,زين,,,[639],465/1072,,,,,,
49,ʿAbd al-Karīm b. Ibrāhīm al-Jayalī,عبد الكريم بن إبراهيم الجيلي,,,,,,,,,[1129],820/1417-8,,,,,,
50,ʿAbd al-Karīm b. Ibrāhīm b. ʿAbd al-Karīm al-Kaylānī,عبد الكريم بن إبراهيم بن عبد الكريم الكيلاني,,,,,,,,,[1025],,,,,,,
52,ʿAbd al-Karīm b. Muḥammad b. Muḥammad,عبد الكريم بن محمد بن محمد,,,,,Barbū,بربو,,,,,,,,,,
53,ʿAbd al-Laṭīf,عبد اللطيف‏ ‬,,,,,,,,,,after 1120/1708-9,,,,,,
54,ʿAbd al-Laṭīf b. ʿAbd al-ʿAzīz b. Mālik al-Karmānī,عبد اللطيف بن عبد العزيز بن مالك الكرماني‏ ‬كرماني‏,,,,,,,,,[1263],801/1398-9,,,,,,
55,ʿAbd al-Laṭif b. Aḥmad al-Buqāʿī,عبد اللطيف بن أحمد البقاعي,,,,,,,,,[163],,,,,,,
56,ʿAbd al-Majīd ʿAlī Ḥādim Āl,عبد المجيد علي حادم آل,,,,,,,,,,,,,,,,
57,ʿAbd al-Majīd b. ʿAlī,عبد المجيد بن علي,,,,,,,,,,,,,,,,
59,ʿAbd al-Majīd b. Ibrāhīm al-Azharī al-Sharnūbī,عبد المجيد بن إبراهيم الأزهري الشرنوبي,,,,,,,,,[1106][372],1306/1888-9,,,,,,
60,ʿAbd al-Majīd b. Naṣūḥ al-Rūmī,عبد المجيد بن نصوح الرومي‏,,,,,,,,,[1313],ca. 960/1552-3,,,,,,
61,ʿAbd al-Mālik al-Walātī,عبد المالك الولاتي,,,,,,,,,[172],,,,,,,
62,ʿAbd al-Malik b. ʿAbd Allāh al-Jūwaynī,عبد الملك بن عبد الله الجويني,,,,,Imām al-Ḥaramayn,إمام الحرمين,"GAL I 389, II 218, S I 671",,[164],478/1085,,,,,,
63,ʿAbd al-Mālik b. al-Imām b. Aḥmad b. Ashfagha [Atshfagha] al-Ābbayrī,عبد المالك بن إمام بن أحمد بن أشفغ الأبييري,ʿAbd al-Mālik b. al-Imām b. an-Nāḥ (MLG); ʿAbd al-Mālik b. al-Imām al-Qārī al-Ibyārī (AMMS),عبد المالك بن الإمام القاري الإبياري (AMMS)؛ عبد المالك بن إمام بن الناح (ربشتوك),,,Qārrī,قاري,Arabic Literature of Africa vol. V  p. 51,الأدب العربي في أفريقيا المجلد الخامس ص 51,[243],,القرن الثالث عشر الهجري التاسع عشر الميلادي,,,11,,
64,ʿAbd al-Mālik b. al-Kardabūs al-Tawzarī,عبد المالك بن الكردبوس التوزري,,,,,,,,,[369],,,,,,,
67,ʿAbd al-Mālik b. Badrūn al-Ḥaḍramī al-Shiblī,عبد المالك بن بدرون الحضرمي الشبلي,,,,,,,,,[2036][626],,,,,,,
68,ʿAbd al-Mālik b. Firshī,عبد المالك بن فرشي,,,,,,,,,[876],,,,,,,
69,ʿAbd al-Mālik b. Muḥammad b. Ismāʿīl al-Thaʿālibī,عبد الملك بن محمد بن إسماعيل الثعالبي,,,,,,,,,[2327],429/1038-9,,,,,,
70,ʿAbd al-Muʿṭī b. al-Burlusī,عبد المعطي البرلسي,,,,,,,,,[708],,,,,,,
71,ʿAbd al-Muʿṭī b. Sālim b. ʿUmar al-Shabalī al-Simlālī,عبد المعطي بن سالم بن عمر الشبلي السملالي,,,,,,,,,[763],,,,,,,
74,ʿAbd al-Qādir ʿAlī b. Yūsuf,عبد القادر علي بن يوسف,,,,,,,,,,,,,,,,
75,ʿAbd al-Qādir Afundī,عبد القادر أفندي,,,,,,,,,[56],,,,,,,
76,ʿAbd al-Qādir al-Ḥamzāwī,عبد القادر الحمزاوي,,,,,,,,,[510],,,,,,,
78,ʿAbd al-Qādir al-Makkī,عبد القادر المكي,,,,,,,,,[565],,,,,,,
79,ʿAbd al-Qādir b. ʿAbd al-Karīm al-Wardīghī al-Khayrānī al-Shafshāwnī,عبد القادر بن عبد الكريم الورديغي الخيراني الشفشاوني,,,,,,,,,[1710][2033],,,,,,,
80,ʿAbd al-Qādir b. ʿAbd Allāh b. Muḥammad b. Muḥammad Sālim al-Majlisī,عبد القادر بن عبد الله بن محمد بن محمد سالم المجلسي,,,,,Qārrī,قاري,Arabic Literature of Africa vol. V  p. 1072,الأدب العربي في أفريقيا المجلد الخامس ص 1072,[48],1372/1952-3,1372/1952-3,,,11,,
81,ʿAbd al-Qādir b. ʿAbd Allāh b. Mūsa al-Jilānī,عبد القادر بن عبد الله بن موسي الجيلاني,,,http://id.loc.gov/authorities/names/n90650670,,ʿAbd al-Qādir al-Jilānī,عبد القادر الجيلاني,,,[140],561/1166,,,,,,
84,ʿAbd al-Qādir b. ʿAlī al-Nufāwī al-Zakzakī,عبد القادر بن علي النفاوي الزكزكي,,,,,ʿAbd al-Qādir Zārīa,عبد القادر زاريا,,,[2008][316],1381/1961,,,,,,
86,ʿAbd al-Qādir b. ʿUthmān b. Abī Bakr,عبد القادر بن عثمان بن ابي بكر,,,,,ʿAbd al-Qādirī dan Gidado,عبد القادر بن غطاطو (بن ليمة),,,,1276/1859,,,,,,
88,ʿAbd al-Qādir b. ʿUthmān b. Muḥammad al-Fūdī,عبد القادر بن عثمان بن محمد الفودي,,,,,Dan Fodio,طن فوديو,,,[1],,,,,,,
89,ʿAbd al-Qādir b. al-ʿAlām Ghidādu al-Ḥawsī,عبد القادر بن العالم قداد الحوسي,,,,,,,,,[1692][1693],129(?)/ ???,,,,,,
90,ʿAbd al-Qādir b. Muḥammad al-Amīn al-Kumlaylī,عبد القادر بن محمد الأمين الكمليلي,,,,,,,Arabic Literature of Africa vol. V  p. 1012,الأدب العربي في أفريقيا المجلد الخامس ص 1012,[596],1363/1944-5,,,,11,,
91,ʿAbd al-Qādir b. al-Imām,عبد القادر بن الإمام,,,,,,,,,,,,,,,,
95,ʿAbd al-Qādir b. al-Muṣṭafa al-Ṭūrūdī,عبد القادر بن المصطفي الطورودي,,,,,Dan Ṭafa,طن طفة,,,[413],1280/1864,,,,,,
96,ʿAbd al-Qādir b. Mashaṭ b. Muḥammad al-Bukhārī, عبد القادر بن مشط بن محمد البخاري,,,,,,,,,[74],1351/1933,,,,,,
97,ʿAbd al-Qādir b. Muḥammad,عبدالقادر بن محمد,,,,,,,,,,,,,,,,
98,ʿAbd al-Qādir b. Muḥammad al-ʿUmarī al-Tūwātī,عبد القادر بن محمد العمري التواتي,,,,,,,,,[523][724],,,,,,,
99,ʿAbd al-Qādir b. Muḥammad al-Bukhārī b. Aḥmad,عبد القادر بن محمد البخاري بن أحمد,,,,,Mashiṭṭu / Wazir of Sokoto,مشط,,,[74],,,,,,,
100,ʿAbd al-Qādir b. Muḥammad al-Muṣṭafa,عبد القادر بن محمد المصطفي,,,,,,,,,,1236/1820-1,,,,,,
101,ʿAbd al-Qādir b. Muḥammad al-Sanūsī b. Aḥmad Zanag al-Amīn b. al-Ṣāliḥ al-Ḥasanī,عبد القادر بن محمد السنوسي بن أحمد زنك الأمين بن الصالح الحسني,,,,,,,,,[5],,,,,,,
102,ʿAbd al-Qādir b. Muḥammad al-Sijilmāsī al-Ḥasanī,عبد القادر بن محمد السجلماسي الحسني,,,,,,,,,[142][5],,,,,,,
103,ʿAbd al-Qādir b. Muḥammad Zayn al-Ghallāwī,عبد القادر بن محمد زين الغلاوي,Zayn ʿAbd al-Qādir b. Muḥammad al-Ghallāwī (MLG),زين عبد القادر بن محمد الغلاوي (ربشتوك),,,,,Arabic Literature of Africa vol. V  p. 572,الأدب العربي في أفريقيا المجلد الخامس ص 572,[103],,,,,11,,
104,ʿAbd al-Qādir b. Muḥammad b. ʿAbd al-Qādir b. al-Amīn al-Kumlaylī,عبد القادر بن محمد بن عبد القادر بن الأمين الكمليلي,,,,,,,Arabic Literature of Africa vol. V  p. 1013,الأدب العربي في أفريقيا المجلد الخامس ص 1013,[596],1363/1943-4,1363/1943-4,,,11,,
105,ʿAbd al-Qādir b. Muḥammad b. Muḥammad Sālim al-Majlisī,عبد القادر بن محمد بن محمد سالم المجلسي,,,,,,,Arabic Literature of Africa vol. V  p. 1074,الأدب العربي في أفريقيا المجلد الخامس ص 1074,[48],1337/1918-9,1337/1918-9,,,11,,
107,ʿAbd al-Qādir b. Muḥammad Bello,عبد القادر بن محمد بللو,,,,,,,,,[1946][1],,,,,,,
108,ʿAbd al-Qādir b. Mūsa al-Jawānī,عبد القادر بن موسي الجواني,,,,,,,,,[787],,,,,,,
109,ʿAbd al-Qādir b. Mūsa al-Sūqī,عبد القادر بن موسي السوقي,,,,,,,,,[521],,,,,,,
110,ʿAbd al-Qādir b. Saʿīd and Abī Bakr b. Mūdī and ʿAbd al-Raḥmān b. Muḥammad,عبد القادر بن سعيد وأبي بكر بن مودي وعبد الرحمان بن محمد,,,,,,,,,,,,,,,,
111,ʿAbd al-Qādir b. Saʿīd and Abī Bakr b. Mūdī and others with them,عبد القادر بن سعيد وأبي بكر بن مودي ومعهم,,,,,,,,,,,,,,,,
112,ʿAbd al-Qādir b. Tafā,عبد القادر بن تفا,,,,,Dan Ṭafa,طن طفة,,,,,,,,,,
114,ʿAbd al-Qahir b. ʿAbd al-Raḥmān al-Jurjānī,عبد القاهربن عبد الرحمان الجرجاني,,,,,,,,,[302],,,,,,,
115,ʿAbd al-Qasir b. Muṣṭafa,عبد القادر بن مصطفي,,,,,,,,,,,,,,,,
116,ʿAbd al-Quddūs al-Khālidī,عبد القدوس الخالدي,,,,,,,,,[870],,,,,,,
118,ʿAbd al-Raʾūf Tāj al-ʿĀrafīn b. ʿAlī al-Munāwī,عبد الرؤوف تاج العارفين بن علي‏ ‬المناوي‏,,,,,Ibn Hajar,ابن حجر‏,,,[714],1031/1621-2,,,,,,
120,ʿAbd al-Raḥīm,عبد الرحيم,,,,,,,,,,,,,,,,
121,ʿAbd al-Raḥīm al-Buraʿī,عبد الرحيم البرعي,,,,,,,,,[102],,,,,,,
122,ʿAbd al-Raḥīm al-Lakhmī,عبد الرحيم اللخمي,,,,,,,,,[22],,,,,,,
125,ʿAbd al-Raḥīm b. ʿAbd al-Rahman al-ʿAbāssī al-Qāhirī,عبد الرحيم بن عبد الرحمن العباسي‏ القاهري,,,,,Zayn al-Dīn,زين الدين,,,[405],963/1556,,,,,,
126,ʿAbd al-Raḥīm b. ʿUmar b. Abī Bakr al-Jawbarī,عبد الرحيم بن عمر بن‏ ‬ابي‏ ‬بكر الجَوْبَري,,,,,,,,,[1381],after 619/1223,,,,,,
129,ʿAbd al-Raḥīm b. al-Ḥusayn al-ʿIrāqī, عبد الرحيم بن الحسين العراقي ,,,,,Zayn al-Dīn / Ḥāfiẓ al-ʿIrāqī,زين الدين / حافظ العراقي,"GAL I 359, S I 612",,[55],806/1404,,,,,,
133,ʿAbd al-Raḥmān,عبد الرحمان ‬,,,,,Jādarī / Abū Zayd,جادري / ابو زيد,,,,after 872/1467-8,,,,,,
135,ʿAbd al-Raḥmān al-Jawzī,عبد الرحمان الجوزي,,,,,,,,,[53],,,,,,,
136,ʿAbd al-Raḥmān al-Jurjānī,عبد الرحمان الجرجاني,,,,,,,,,[302],fl.830/1426,,,,,,
137,ʿAbd al-Raḥmān al-Khalīfa b. Aḥmad Ṭālib b. Jiddū (?),عبد الرمان الخليفة بن أحمد طلب بن جدو (?),,,,,,,,,,,,,,,,
138,ʿAbd al-Raḥmān al-Raqaʿī al-Fāsī,عبد الرحمان الرقعي الفاسي,,,,,,,,,[17],,,,,,,
139,ʿAbd al-Raḥmān b. ʿAbd al-Majīd al-Wasīṭī,عبد الرحمان بن عبد المجيد الوسيطي,,,,,,,,,[695],827/1423-4,,,,,,
140,ʿAbd al-Raḥmān b. ʿAbd al-Qādir al-Fāsī,عبد الرحمان بن عبد القادر الفاسي,,,,,,,,,[17],1096/1685,,,,,,
141,ʿAbd al-Raḥmān b. ʿAbd al-Salām b. ʿAbd al-Raḥmān al-Ṣaffūrī,عبد الرحمان بن عبد السلام بن عبد الرحمان الصفوري,,,,,ʿAbd al-Raḥmān al-Ṣaffūrī,عبد الرحمان الصفوري,,,[165][1743],,,,,,,
142,ʿAbd al-Raḥmān b. ʿAbd Allāh al-Saʿdī,عبد الرحمان بن عبد الله السعدي,,,,,Saʿdī,سعدي,,,[566],ca. 1071/1660,,,,,,
144,ʿAbd al-Raḥmān b. ʿAbd Allāh al-Sahīlī,عبد الرحمان بن عبد الله السهيلي‏,,,,,Abū Hafiṣ / Abū ʿAbd Allāh,‬أبو حفص، ‬ابو عبد الله‏,,,[1709],581/1185-6,,,,,,
145,ʿAbd al-Raḥmān b. ʿAbd Allāh al-Turkī al-Miṣrī al-Zarkashī,عبد الرحمان بن عبد الله التركي المصري الزركشي,,,,,,,,,[1490][2070],794/1392,,,,,,
146,ʿAbd al-Raḥmān b. ʿAbd Allāh b. Aḥmad al-Khashʿamī al-Saḥilī,عبد الرحمان بن عبد الله بن أحمد الخشعمي الساحلي,,,,,ʿAbd al-Raḥmān b. ʿAbd Allāh al-Sahīlī (?),,,,[1709],,,,,,,
147,ʿAbd al-Raḥmān b. ʿAbd Allāh b. Aḥmad al-Suhaylī,عبد الرحمان بن عبد الله بن أحمد السهيلي,,,,,Abū al-Qāsim al-Suhaylī,أبو القاسم السهيلي,,,[1756][1983],,,,,,,
148,ʿAbd al-Raḥmān b. ʿAffān al-Jazūlī,عبد الرحمان بن عفان الجزولي,,,,,,,,,[433],741/1340,,,,,,
149,ʿAbd al-Raḥmān b. ʿAlī b. Aḥmad al-Qurashī al-Yāfiʿī,عبد الرحمان بن علي بن أحمد القرشي اليافعي,,,,,,,,,[176][666],,,,,,,
150,ʿAbd al-Raḥmān b. ʿAlī b. Muḥammad b. al-Jawzī,عبد الرحمان بن علي بن محمد بن الجوزي,,,,,Abū al-Faraj,أبو الفرج,GAL I 146; S I 225,,[53],,,,,,,
151,ʿAbd al-Raḥmān b. ʿUmar al-Jazūlī al-Sūsī,عبد الرحمان بن عمر الجزولي السوسي,,,,,,,,,[148][433],,,,,,,
152,ʿAbd al-Raḥmān b. ʿUmar al-Tūwātī,عبد الرحمان بن عمر التواتي,,,,,,,,,[523],,,,,,,
153,ʿAbd al-Raḥmān b. ʾUbb ʿAlal,عبد الرحمان بن أب علل,,,,,,,,,,,,,,,,
157,ʿAbd al-Raḥmān b. Abī  Bakr al-Suyūṭī,عبد الرحمان بن أبي بكر السيوطي,,,http://id.loc.gov/authorities/names/n80081636,,Jalāl al-Dīn al-Suyūṭī,جلال الدين السيوطي,"GAL II 114, 145, 155, 199; S I 524; S II  179, 589",,[39],911/1505,911/1505,849/1445,849/1445,,,
159,ʿAbd al-Raḥmān b. Abī Qāsim b. al-Qāḍī al-Fāsī,عبد الرحمان بن أبي القاسم بن القاضي الفاسي,,,,,Ibn Qāḍī,ابن القاضي,,,[17],1082/1671,,,,,,
160,ʿAbd al-Raḥmān b. Af (?),عبد الرحمان بن أف (?),,,,,,,,,,,,,,,,
161,ʿAbd al-Raḥmān b. Aḥmad al-ʿIbādī al-Miṣrī,عبد الرحمان بن أحمد العبادي المصري,,,,,,,,,[670][723],,,,,,,
162,ʿAbd al-Raḥmān b. Aḥmad al-Waghlisī,عبد الرحمان بن أحمد الوغليسي,,,,,,,,,[1768][777],1096/1684-5,,,,,,
164,ʿAbd al-Raḥmān b. Aḥmad b. Muḥammad al-ʿAyyāshī,عبد الرحمان بن أحمد بن محمد العياشي,,,,,,,,,[68],,,,,,,
165,ʿAbd al-Raḥmān b. al-Imām,عبد الرحمان بن الإمام,,,,,,,,,,,,,,,,
166,ʿAbd al-Raḥmān b. al-Imām Abī Bakr al-Arkazī,عبد الرحمان بن الإمام أبي بكر الأركزي,,,,,,,,,[1095],,,,,,,
167,ʿAbd al-Raḥmān b. al-Ṭālib,عبد الرحمان بن الطالب,,,,,,,,,,,,,,,,
168,ʿAbd al-Raḥmān b. al-Ṭālib Sīdi Aḥmad al-Kuntī,عبد الرحمان بن الطالب سيد أحمد الكنتي,,,,,,,,,[14],,,,,,,
169,Anbūyā (ʿAbd ar-Raḥmān) b. Bāba Aḥmad b. Muḥammad b. aṭ-Ṭālib ʿAbd ar-Raḥmān b. Muḥammad b. Aḥmad al-Wālī al-Maḥjūbī,انبويا (عبد الرحمن) بن بابه أحمد بن محمد بن الطالب عبد الرحمن بن محمد بن أحمد الولي المحجوبي:,ʿAbd ar-Raḥmān b. Bāba Aḥmad al-Anbawī (AMMS),عبد الرحمان بن باب أحمد الأنبوي (AMMS),,,Anbūyā,انبويا,Arabic Literature of Africa vol. V  p. 1059,الأدب العربي في أفريقيا المجلد الخامس ص 1059,[640],1277/1860-1,1277/1860-1,,,11,,
171,ʿAbd ar-Raḥmān b. Ballāl al-Ajmallī,عبد الرحمن بن بَلال الأجملي,ash-Shaykh ʿAbd ar-Raḥmān b. Ballāl Ajmallī al-Idaijumlī al-Jumallī (MLG),,,,,,Arabic Literature of Africa vol. V  p. 170,الأدب العربي في أفريقيا المجلد الخامس ص 170,[1394][650],1360/1941,1360/1941,,,11,,
172,ʿAbd al-Raḥmān b. Ḥamād b. ʿUmar,عبد الرحمان بن حماد بن عمر,,,,,,,,,,,,,,,,
173,ʿAbd al-Raḥmān b. Ḥamma al-Jakanī,عبد الرحمان بن حم الجكني,,,,,,,,,[7],,,,,,,
174,ʿAbd al-Raḥmān b. Isḥāq al-Zajjājī al-Naḥwī,عبد الرحمان بن إسحاق الزجاجي النحوي,,,,,,,,,[1772][615],,,,,,,
175,ʿAbd al-Raḥmān b. Ismāʿīl,عبد الرحمان بن إسماعيل,,,,,Abū al-Ḥasan,‬أبو الحسن‏,,,,,,,,,,
177,ʿAbd al-Raḥmān b. Ismāʿīl b. al-Imām Muḥammad Gūrdu al-Ghallāwī,عبد الرحمان بن إسماعيل بن الإمام محمد كورد الغلاوي,,,,,,,,,[103],,,,,,,
178,ʿAbd al-Raḥmān b. Khalīl,عبدالرحمان بن خليل,,,,,,,,,,,,,,,,
179,ʿAbd al-Raḥmān b. Maḥmūd,عبد الرحمان بن محمود,,,,,Lubban,لبن,,,,,,,,,,
180,ʿAbd al-Raḥmān b. Muḥammad,عبد الرحمان بن محمد,,,,,,,,,,,,,,,,
184,ʿAbd al-Raḥmān b. Muḥammad al-Akhḍarī al-Thaʿālbī al-Jazāʾirī,عبد الرحمان بن محمد الأخضري الثعالبي الجزائري,ʿAbd al-Rahmān b. Muḥammad al-Saghīr al-Akhḍarī al-Bunṭyūsī,عبد الرحمان بن محمد الصغير الأخضري البنطيوسي,https://id.loc.gov/authorities/names/nr91025972,,Abū Zayd \ al-Akhḍārī,أبو زيد / الأخضري,"GAL II 249, S II 351, 705",,[119][1640][29],918/1575-76,918/1575-6,983/1512-3,983/1512-3,,,
186,ʿAbd ar-Raḥmān b. Muḥammad al-Amīn b. aṭ-Ṭālib Sīdi Aḥmad al-Ghallāwī,عبد الرحمان بن محمد الأمين بن الطالب سيد أحمد الغلاوي,al-Ḥāj ʿAbd ar-Raḥmān b. al-Ḥāj al-Amīn al-Ghallāwī (Ibn Hamidun and Heymowski),الحاج عبد الرحمان بن الحاج الأمين الغلاوي (ابن حامد وهيموسكي),,,,,Arabic Literature of Africa vol. V  p. 581,الأدب العربي في أفريقيا المجلد الخامس ص 581,[103],,,,,11,,
