ID,Nisba,Arabic Nisba
1581,Nasbi,نسبي
1582,Qarnī,قرني
1583,Qurayshī,قريشي
1584,Ṭawāshī,طواشي
1587,Bābī,بابي
1588,Balfītī,بلفيتي
1589,Darābī,درابي
1590,Kulikī,كلكي
1591,Sataraī,سترى
1592,ʿArabī,عربي
1594,ʿUrtῡnī,عرتوني
1596,Hādī,هادي
1598,Jūrānī,جوراني
1599,Kharṭūsī,خرطوسي
1601,Qawsī,قوسي
1603,Samʿānī,سمعاني
1604,Shanbakī,شنبكي
1605,Sunsudī,سنسدي
1606,Bāmawī,باموي
1607,Bāmī,بامي
1609,Didi,ديد
1610,Dunbarī,دنبري
1611,Gharadī,غردي
1612,Ḥaīdarawī,حيدروي
1613,Hawi,هوى
1614,Kanābī,كنابي
1615,Kῡrukī,كوركي
1616,Nādī,نادي
1617,Santāwī,سنتاوي
1619,Suri,صور
1620,Wākī,واكي
1621,Yabātī,يباتي
1625,Dīllī,ديلي
1626,Khazūbī,خزوبي
1627,Gharnunī,غرنوني
1628,Farāʿnī,فرعاني
1629,Sātarī,ساتري
1630,Qardi,قارضي
1631,Fahath,فاهث
1632,Awshī,أوشي
1633,Aʿmash,أعمش
1634,Ṭafarānī,طفراني
1635,Dukālī,دكالي
1636,Thῡrī,ثورى
1637,Bῡsī,بوسي
1638,Makhali,مخلي
1639,Ṭīlīṭalī,طيليطلي
1640,Buntyūsī,بنطيوسي
1641,ʿAbdarī,عبدري
1642,Kaywī,كيوي
1643,Tughughī,طغوغي
1644,Tarawalī,ترول
1645,ʿAbdawi,عبدوي
1647,ʿĀmalī,عاملي
1648,ʿAshmāwī,عشماوي
1649,ʿAwsī,عوسي
1650,Āʿrābī,أعرابي
1651,Adwazī,أدوزي
1652,Anbābī,أنبابي
1653,Ūshī,أوسي
1654,Baghdāmisī,بغدامسي
1655,Balārabī,بلاربى
1656,Balārabī,غسوي
1657,Balārī,بلاري
1658,Balṭī,بلطي
1659,Barī,بري
1660,Barīshī,بريشي
1661,Barmakī,برمكي
1662,Barnāqī,برناقي
1663,Barnūsī,برنوسي
1664,Bawshī,بوشي
1665,Biblāwī,ببلاوي
1666,Biruṭī,بروطي
1667,Biṭrādī,بطرادي
1668,Buʿumrānī,بعمراني
1669,Buḥturī,بحتري
1670,Buhuwatī,بُهُوتي‏
1671,Bundūkī,بندكي
1672,Būṣīrī,بوصيري
1673,Būtilimītī,بوتلميتي
1674,Daḥḥālī,دحالي
1675,Dajānī,دجاني
1676,Dakūdī,دكودي
1677,Dayrabī,ديربي
1678,Fādakī,فادكي
1679,Farghānī,فرغاني
1680,Fayyūmī,فيومي
1681,Fuqlāwī,فقلاوي
1682,Fūtajāllī,فوتجلي
1683,Ghamārī,غماري
1684,Ghāwī,غاوي
1685,Ghayaṭī,غيطي
1686,Ghumrī,غمري
1687,Ghusawī,غسوي
1688,Ḥabashī,حبشي
1689,Ḥajūjī,حجوجي
1690,Hāmī,حامي
1691,Ḥātimī,حاتمي
1692,Ḥawsāwā,حوساوا
1693,Ḥawsī,حوسي
1694,Ḥijāzī,حجازي
1695,Ḥillī,حلي
1696,Ḥuḍaykī,حُضَيْكي‏
1697,Ḥurīfīshī,حريفشي
1698,IdawʿAlī,إدوعلي
1699,Ijalābī,إجلابي
1701,Jalalī,صنبياتي
1702,Janlawī,جنلوي
1704,Kabawī,كبوي
1705,Kalāʿī,كلاعي
1706,Kallādī,كلادي
1707,Kanū,كنوا
1708,Katāgumī,كتاغمي
1709,Khashʿamī,خشعمي
1710,Khayrānī,خيراني
1711,Khulwatī,خلوتي
1712,Kurdī,كردي
1713,Lamṭī,لمطي
1714,Lubuwī,لبوي
1715,Maʿāfirī,معافري
1716,Maʿarī,معري
1717,Maghrāwī,مغراوي
1718,Māghūsī,ماغوسي
1719,Maḥallī,محلي
1720,Makhzūmī,مخزومي
1721,Mankaqūdhī,منكقوذي‏
1722,Manūfī,منوفي
1723,Marghitī,مرغتي
1724,Maydānī,ميداني
1725,Mubārakī,مباركي
1726,Muhājirī,مهاجري
1727,Muhallabī,مهلبي
1728,Nāblusī,نابلسي
1729,Nabtītī,نبتيتي
1730,Nafazī,نفزي‏ ‬
1731,Naẓīfī,نظيفي
1732,Qaylabī,قيلبي
1733,Quḍāʿī,قضائي
1734,Qudsī,قدسي
1735,Qusnaṭīnī,قسنطيني
1736,Rabbāṣī,رباصي
1737,Rāfiʿ,رافعي
1738,Rajrājī,رجراجي‏ ‬
1739,Rajrājī,رجراجي
1740,Rashīdī,رشيدي
1741,Rubaṭāʾī,ربطائي
1742,Ṣaʿaydī,صعيدي
1743,Ṣaffūrī,صفوري
1744,Samarqandī,سمرقندي
1745,Sambarī,سمبري
1746,Sanbāwī,سنباوي
1747,Saylāwī,سيلاوي
1748,Shaʿrānī,شعراني
1749,Shabrakhītī,شبرخيتي
1750,Shahāwī,شهاوي
1751,Sharjī,شَّرجي  شَّرجي
1752,Sharqī,شرقي
1754,Sīdibī,سيدبي
1755,Sijlmāsī,سجلماسي
1756,Suhaylī,سهيلي
1757,Sūnikī,سونكي
1758,Suwarī,زاغاوي
1759,Tadlāwī,تدلاوي‏ ‬
1760,Taqarī,تقري
1761,Tarāwīlī (Ṭarābulsī ?),تراويلي (طرابلسي ؟)
1762,Ṭaṣfāwī,طصفاوي
1763,Tūdī,تودي
1764,Ṭughrāʾī,طغرائي
1765,Turkazī,تركزي
1766,Tūzūrī,توزري
1767,Ushmūnī,أشموني
1768,Waghlīsī,وغليسي
1769,Waryandī,وريندي
1770,Wurqī,ورقي
1771,Ẓāhirī,ظاهري
1772,Zajjājī,زجاجي
1773,Zajlī,زجلي
1774,Zanjawī,زنجوي
1775,Zarnūjī,زرنوجي
1776,Zanjawī,زنجوي
1900,ʿAllāma,علامة
1901,ʿAmmānī,عماني
1902,ʿAnānī,عناني
1903,ʿAnbārī,عنبري
1904,ʿArmayuni,عرميوني
1905,Ajdābī,أجدابي
1906,Adūnī,أدوني
1907,Aghdasī,اغدسي
1908,Aqīt,أقيت
1909,Arūsī,عروسي
1910,Aūsī,أوسي
1912,Baʿāwī,بعاوي
1913,Bādīsī,باديسي
1914,Bāghirmāwī,باغرماوي
1915,Baghūnī,بغوني
1916,Bahnasī,بهنسي
1917,Bālaṣūtī,بالصوتي‏
1918,Banbarī,بنبري
1919,Banbāwī,بنباوي
1920,Barāthʿaī,براذعي
1921,Barjamī,برجمي
1922,ʿAbsī,عبسي
1923,Baṭṭūʾī,بطوئي
1924,Bidawī,بدوي
1925,Būḥubaynī,بوحبيني
1926,Burmawī,برموي
1927,Burūjī,بروجي
1928,Būsʿadī,بوسعيدي
1929,Būtījī,بوتيجي
1930,Daghrī,دغري
1931,Dakūjī,دكوجي
1932,Damāmīnī,دماميني
1933,Fagge,فغى
1934,Fārābī,فارابي‏
1935,Faraḍī,فرضي
1936,Farmūkī,فرموكي
1937,Fāruqī,فاروقي
1938,Fiḥrī,فهري
1939,Fishnī,فشني
1940,Fundukī,فندكي
1941,Gallādī,كلادي
1942,Ghalānī,غلاني
1943,Ghanawi,غناوي
1944,Gharqāwī,غرقاوي
1945,Ghasarkamī,غسركمي
1946,Ghashawī,غشوي
1947,Ghaydamī,غيدمي
1948,Ghazāwī,غزاوي
1949,Gusau,غسوي
1950,Hadālī,هدالي
1952,Ḥalbī,حلبي‏
1953,Harawī,هروي
1954,Ḥārithī,حارثي
1955,Harrarī,هرري
1956,Hārūshī,هاروشي
1957,Ḥusnī,حسني
1958,Hashῡkī,هشوكي
1959,Hawwārīi,هواري
1960,Ḥāzimī,حازمي
1961,Ḥurūfī,حروفي
1962,Ifrānī,إيفراني
1963,Irbilī,اربلي
1965,Jabihī,جبهي
1966,Janānī ?,جنلوي
1967,Janbalī,جنبلي‏ ‬ ‬‬
1968,Jāwī,جاوي
1969,Jayyānī,جياني
1970,Jirjāwī,جرجاوي
1971,Juwaybārī (?),جويباري
1972,Kaʿajājī,كعجاجي
1973,Kākī,كاكي
1974,Kanārī,كناري
1975,Kansūsī,كنسوسي
1976,Karāmī,كرامي
1977,Karīnsuwī,كرينسوي
1978,Kasanmī,كسنمي
1979,Katabī,كتبي
1980,Kattānī,كتاني
1981,Khalwati,خلواتي
1982,Kharāsānī,خراساني
1983,Khathʿamī,خثعمي
1984,Kilānī,كيلاني
1987,Kiyarī,كيري
1988,Kūrāwā,كوراوا
1989,Laghlāl,لغلالي
1990,Maʿadānī,معداني
1991,Madbāwī,مدباوي
1992,Madmūrī,مدموري
1993,Māghumī,ماغمي
1995,Malāllī,ملالي
1996,Malawi,ملاوي
1997,Malawī,ملوي‏
1998,Mansufīrī,منسفيري
1999,Maqarī,مقري‏
2000,Māraqī,مارقي
2001,Marwazī,مروزي
2002,Mislimī,مسلمي
2003,Muʿārifī,معارفي
2004,Mūsānī,موساني
2005,Najībī,نجيبي
2006,Naqshabandī,نقشبندي
2007,Naysābūrī,نيسابوري
2008,Nufāwī,نفاوي
2009,Qālī,قالي
2010,Qaramānī,قَرَماني‏
2011,Qargharī,قرغري
2012,Qarmālī,قرمالي
2013,Qawrī,قوري
2014,Qinānī,قناني
2015,Qirlāwī,قرلاوي
2017,Qushāshī,قشاشي
2018,Qusṭanṭīnī (?),قسطنطيني (?)
2020,Rabbānī,رباني
2021,Raghawī,رغوي
2022,Randī,رندي‏
2023,Saʿīdī,صعيدي
2024,Saʿūdī,سعودي
2025,Ṣaʿughī,صعوغي
2026,Ṣafādī,صفادي
2027,Sāḥlī,ساحلي
2028,Salmānī,سلماني
2029,Șanbiyātī,صنبياتي
2030,Sansāwī,سنساوى
2031,Saraqusṭī,سرقسطي
2032,Sarāwī,سراوي
2033,Shafshāwnī,شفشاوني
2034,Sharqāwī,شرقاوي
2035,Shāwurī,شاوري
2036,Shiblī,شبلي
2037,Shūburā,شوبري
2038,Ṣiddīqī,صديقي
2039,Sindī,سندي
2040,Sinnarī,سناري
2041,Sitrāʾī,ستراي
2042,Tafjarūnī,تفجروني
2043,Taghtīnī,تغتيني
2044,Taḥtānī,تحتاني
2045,Tārqī,تارقي
2046,Ṭawāraqī,طوارقي
2047,Tshādī,تشادي
2048,Ṭūbawī,طوبوي
2049,Tūzī,توزي
2050,Wāʾilī,وائلي
2051,Wardī,وردي
2052,Warghamī,ورغمي
2053,Waṣābī,وصابي
2054,Wasanī,وسني
2055,Washṭaṭī,وشطاطي
2056,Watarī,وتري
2057,Wīwī,ويوي
2058,Wudālī,سميلي
2059,Yaḥṣubī,يحصبي
2060,Yākāsī,ياكاسي
2061,Yaqūrī (Yaʿmarī?),يقوري (يعمري ؟)
2062,Yāwurī,ياوري
2063,Zaʿaymī,زعيمي
2064,Zabarmārī,ذبرماري
2065,Zaghalī,زغلي
2066,Zajlāwī,زجلاوي
2067,Zamakhsharī,زمخشري
2068,Zanghun Barībarī,ذنغن بريبري
2069,Zarʿī,زرعي
2070,Zarkashī,زركشي
2071,Zaydī,زيدي
2072,Zaydī,شَّرجي  شَّرجي
2073,Zaytūnī,زيتوني
2074,Kulubali,كلبل
2075,Wangarī,ونغري
2076,Dalāṣī,دلاصي
2077,Barnῡmī,برنومي
2078,Tahāmī,تهامي
2079,Kῡradī,كوردي
2080,Tāwī,تاوى
2081,Tarsānī,ترساني
2082,Bakārī,بكاري
2083,Yaytī,تيتي
2084,Lamī,لمي
2085,Sankāri,سنكار
2086,Ghawghī,غوغي
2087,Kinīnī,كنيني
2088,Sanbari,سنبر
2089,Sillā,سلا
2090,Jābī,جابي
2091,Jitī,جتي
2092,Zāghawī,زاغوى
2093,Kinatī,كنتى
2094,Armabī,ارمبى
2095,Bakkay,بكاي
2097,Buṣārī,بوصاري
2098,Arzaqi,أرزق
2099,Sina,سن
2100,Dῡnikī,دونكي
2101,Jābi,جاب
2102,Wulālabī,وُلالبي
2103,Rīrasāni,ريرسان
2104,Hashī,هشى
2105,Zaʿrānī,زعراني
2106,Kabayῡwī,كَبَيُوَيَ
2107,Kabrī,كبرى
2108,Sarbī,
2109,Danbilī,دَ نْبلى
2110,Mῡdī,مودي
2111,Bādirnī,بادرني
2112,Gharawī,غروي
2113,Futῡḥi,
2114,Rajjī,رجي
2115,Kāhī,كاهي
2116,Samaki,سَمَكِ
2117,Gharaki,غرك
2118,Bamakī,بمكي
2119,Taʿfī,تعفى
2120,Sīlla,سِيلاَ
2146,Saḥnῡnī,سحنوني
2147,Matrῡkashī,متروكشي
2148,Lughawī,لغوي
2149,Bakī,بكي
2150,Murasī,مراسي
2151,Bazi,بازي
2152,Mawi,موي
2153,Kawki,كوكي
2154,Manṣῡrī,منصوري
2155,Liqāʾī,لقائي
2156,Tastari,تسترى
2157,Nānī,ناني
2158,Ghāfaʿī,غافعي
2159,Tarātamī,تراتمي
2160,Shadrawi,شدراوي
2161,Kāshaʿrī,كاشعري
2162,Jararī,جرري
2163,Qasārnī,قسارنى
2164,Darānī,دراني
2165,Mashīshī,مشيش
2166,Zayyani,زيني
2167,Wahari,وهري
2168,Ḥarīthnī,حريثني
2169,Marzārῡnī,مرز أرواني
2170,Aʿyyāsī,أعياسي
2171,Kurdafāy,كردفاي
2172,Aṣmaʿī,أصمعي
2173,Sansandī,سنسندي
2174,Mādī,مادي
2175,Dambalī,دمبلى
2176,Maṭī,مطي
2177,Jabiyyi,جبيى
2178,Qarawī,قروي
2179,Qarninī,قرىني
2180,Wākarī,واكري
2181,Saharῡdī,سهرودي
2182,Takbanghī,تكبنغي
2183,Zanānī,زناني
2188,Ṭawsī,طوسي
2189,Maḥṭurī,محطري
2190,Tabrῡqī,تبروقي
2191,Balṣadī,بلصدي
2192,Marghathanānī,مرغثناني
2193,Marṣafī,مرصفي
2194,Wakabī,وكبي
2195,Jawādī,جوادي
2196,Watāwī,وتاوي
2197,Tartabī,ترتبى
2198,Kalī,كلي
2199,Saṭāmī,صطامي
2200,Sankī,سنكي
2201,ʿAshārnī,عشارني
2202,Dawlī,دولي
2203,Filānī,فيلاني
2204,Shanafī,شنفي
2205,Rafaʿī,رفعي
2206,Fānī,فاني
2207,Danmabalī,دنمبلي
2208,Shanshī,شنشى
2209,Funī,فُنى
2210,Naytaya,نَيْتَىَّ
2211,Mabay,مَابَائ
2212,Ghamtawī,غمتوى
2213,Zaghatī,زغتى
2214,Jurī,جرى
2215,Sarmī,سرمي
2216,Tandawi,تَنْدَوِيُ
2217,Fafī,ففى
2218,Zānḥawī,زانحوى
2219,Sāghῡkatī,ساغو كتي
2220,Bāʾukī,باوْكي
2221,Sirmī,سرمي
2222,Ghīrāwī,غيراوي
2223,Kunānī,كُنَايِى
2224,Thakbarī,ثكبري
2225,Kārnabī,كارنبي
2226,Farmakī,فرمكي
2227,Njaʿtī,انجتى
2228,Tararalī,تررلى
2255,Athārī,آثاري
2256,Ṭitwānī,تطواني
2257,Ṭaḥāwī,طحاوي
2258,Kibī,كبي
2259,Tabrīzī,تبريزي
2260,Fashalī,فشلي
2261,Raqaʿī,رقعي
2262,Futawī,فتوى
2263,Taʿālī,تعالي
2264,Zuharī,زهري
2265,Qaṣarī,قصرى
2266,Ghazawnī,غزوني
2267,Yabī,يبي
2268,Ḥafrāy,حفراي
2269,Alaʿī,الألعي
2270,Daylānī,ديلاني
2271,Shaknāwī,شكناوي
2272,Nārʿanī,نارعني
2273,Makanī,مكني
2274,Busṭāmī,بصطامي
2275,Buwī,بُوِي
2288,Nājī,ناجي
2289,Tarḥasnān,ترحسناني
2290,Namānī,نماني
2291,Ghalādī,غلادي
2292,Azawadi,عزودي
2293,Ḥarīshī,حريشي
2294,Ḥarṭānī,حرطاني
2295,Ḥaysī,حيسي
2297,Kāhymī,كاهيمى
2298,Kasmīnī,كسميني
2299,Qayshīrī,قيشيري
2300,Sabāʿī,سباعى
2301,Sakawī,سكوى
2302,Sālamī,سالمي
2303,Jawkayūtī,جوكيوتي
2304,Shāmī,شامى
2305,Tāfāṭī,تافاطي
2306,Wādamī,وادمى
2307,Waghlānī,وغلاني
2308,Damī,دمي
2309,Damilī,دَمِلِى
2310,Danmilī,دَنْملى
2311,Ghawanī,غوني
2312,Hāshmī,هشمي
2313,Kabῡrī,كبوري
2314,Kabayawī,كبيوى
2315,Kankawī,كنكوي
2316,Kaykamī,كيكمي
2317,Sanfī,سنفي
2318,Sarbī,سربي
2319,Shīshī,شيشى
2320,Sirī,سري
2323,Kel Inshirīʿ,كل انشريع
2324,Buqālī,بقالى
2325,Anwakandirī,أنوكندري
2329,Qutayba,قتيبة
2331,Shaʿwānī,شعواني
2332,Dasūqī,دسوقي
2333,Brūsawī,بروسوي
2334,Asfarāyīnī,أسفراييني
2335,Buhasani,بوحسني
2336,Saganawī,سغنوي
2337,Saḥnūnī,سحنوني
2338,Būghī,بوغي
2339,Qāhirī,قاهري
2340,Damīrī,دميري
2341,Ruhūnī,رهوني
2342,Zawāwī,زواوي
2343,Khawārazmī,خوارزمي
2344,Sīdi ʿĀlī,السيد عالي
