ID,Parent ID,Subject,Arabic Subject
111,,science: human body,علوم: جسم الانسان
112,,economy: taxation,إقتصاد: ضرائب الدولة
113,,Prophet Muhammad: hijra,سيرة نبوية: هجرة
115,,literature: stories: hunting,أدب: قصص: صيد
117,,literature: diverse,أدب: متعدد
119,,devotional: praise to muhajirin (the Habasha),تحنث: مدح المهاجرين (الحبشة)
120,,history: events: death dates,تاريخ: حوادث: وفيات
121,,jurisprudence: lawful & unlawful: singing,فقه: الحلال والحرام: غناء
122,,Prophet Muhammad: wives,سيرة نبوية: أزواج النبي
123,,genealogy: Sharifian,أنساب: شرفاء
124,,Prophet Muhammad: death,سيرة نبوية: وفاة النبي
125,,jurisprudence: principles: ijtihad,فقه: أصول: إجتهاد
126,,jurisprudence: marriage: conditions for,فقه: نكاح: شروط
128,,literature: qaṣida / prosody,أدب: قصيدة / عروض
129,,science: astronomy,علوم: فلك
130,,biography: al-Sanusi,تراجم: السنوسي
131,,literature: proverbs (& narratives),أدب: أمثال (وقصص)
132,,Sufism: biography: ʿAbd al-Qadir al-Jaylānī,تصوف: تراجم: عبد القادر الجيلاني
133,,Sufism: maxims,تصوف: حكم
134,,jurisprudence: marriage,فقه: نكاح
135,,Sufism: repentance,تصوف: توبة
136,,Arabic language / belief,لغة عربية / عقيدة
137,,belief: theology: creation of world,عقيدة: توحيد: حدوث العالم
138,,literature: poetry: collection (dīwān),أدب: ديوان
139,,politics: administration,سياسة: إدارة
140,,jurisprudence / hadith: diverse,فقه / حديث: متعدد
141,,politics,سياسة
142,,Sufism: seclusion,تصوف: خلوة
143,,belief / Sufism,عقيدة / تصوف
144,,Sufism: tomb visitation,تصوف: زيارة
145,,politics: counsel,سياسة: شورى
146,,belief: Mahdism,عقيدة: المهدية
147,,belief: exhortation,عقيدة: وعظ
148,,Sufism: student-shaykh relations,تصوف: علاقات الشيخ بمريديه
149,,politics: conflict settlement,سياسة: مصالحة
150,,history: Mauritania: tribes: Kunta / Idaw al-Hajj,تاريخ: موريتانية: قبائل: كنته / ايدوالحاج
151,,"Sufism: creation, wonders of",تصوف: معجزة الخلق
152,,ethics: apology,أخلاق: اعتذار
153,,jurisprudence: lawful & unlawful: stimulants,فقه: الحلال والحرام: مكيفات
154,,Sufism: dhikr,تصوف: ذكر
156,,Sufism: hagiography: Sidi al-Mukhtar al-Kunti,تصوف: مناقب: سيد المختار الكنتي
157,,politics: settlement: zawaya and hassan,سياسة: مصالحة: الزوايا وحسان
158,,jurisprudence: sanctions: bribery,فقه: عقوبات: رشوة
159,,science: classifications,علوم: تصنيفات
161,,literature: poetry: collection: ʿUmar b. Abī Rābiʿa (al-Makhzūmī al-Qurashī),أدب: ديوان: عمر بن أبي ربيعة
162,,literature: poetry: collection: Mḥammad b. Aḥmad Yura al-Daymānī,أدب: ديوان: امحمد بن أحمد يوره الديماني
163,,literature: study of: poets,أدب: دراسة: شعراء
164,,literature: prosody,أدب: عروض
165,,biography: Abu al-Mahasin,تراجم: أبو المحاسن
166,,literature: eulogy/praise,أدب: مدح
167,,devotional: prayer for rain,تحنث: إستسقاء
168,,Sufism: supplication: litanies,تصوف: أدعية: أوراد
169,,literature: poetry: collection: Ibn al-Fāriḍ,أدب: ديوان: ابن الفارض
170,,Sufism: Ibn al-Farid,تصوف: ابن الفارض
171,,jurisprudence: transactions: sales: compensation,فقه: معاملات: بيوع: تعويض
173,,jurisprudence: transactions: sales: usury,فقه: معاملات: بيوع: ربا
174,,ethics: arrogance,أخلاق: كبر
176,,jurisprudence / Sufism,فقه / تصوف
177,,history: Mauritania: tribes: Hassan,تاريخ: موريتانية: قبائل: حسان
178,,history: Maghrib: Tilimsan: Banu Zayyan,تاريخ: المغرب: تلمسان: بنو زيان
179,,education: teaching,تربية: تعليم
