ID,Parent ID,Subject,Arabic Subject
482,,jurisprudence: marriage: oaths (by compulsion),فقه: نكاح: أيمان (عذر المكره)
483,,jurisprudence: divorce: custom,فقه: طلاق: عرف
484,,"jurisprudence: marriage: intercourse (illegal, with slaves)",فقه: نكاح: جماع (غير شرعي ، اماء)
485,,jurisprudence: divorce: allegation of adultery,فقه: طلاق: لعان
486,,jurisprudence: lawful & unlawful: food: slaughtering,فقه: الحلال والحرام: أكل: ذكاة الذبح
487,,reform: renewal,تغيير المنكر: تجديد
488,,esoteric sciences: letter magic,باطنيات: حروف
489,,literature: pre-Islamic poetry: Imruʾ al-Qays,أدب: جاهلي: امرؤ القيس
490,,literature: pre-Islamic poetry: ʿAlqama b. ʿAbada,أدب: جاهلي: علقمة
491,,literature: pre-Islamic poetry: ʿAntara b. Shaddād al-ʿAbsī,أدب: جاهلي: عنتر بن شداد العبسي
492,,literature: pre-Islamic poetry: al-Nabigha al-Dhubyani,أدب: جاهلي: النابغة الذبياني
493,,literature: description,أدب: وصف
495,,esoteric sciences: geomancy,باطنيات: خط الرمل
496,,esoteric sciences: guidance,باطنيات: إستخارة
497,,politics: colonialism: British,سياسة: إستعمار: بريطني
498,,jurisprudence: duties: funeral rites,فقه: عبادات: جنازة
499,,esoteric sciences: astrology,باطنيات: تنجيم
500,,ethics: maxims,أخلاق: حكم
502,,belief: Prophet Muhammad: kin,عقيدة: سيرة نبوية: أهل البيت
504,,jurisprudence: duties: ritual purity: slaughtering,فقه: عبادات: طهارة: ذكاة
505,,belief: theology: morals,عقيدة: توحيد: أخلاقيات
506,,ethics: advice,أخلاق: نصائح
508,,esoteric sciences: miscellanea,باطنيات: فوائد
509,,Sufism: orders: Tijaniyya,تصوف: طرق: التجانية
511,,belief: Prophet Muhammad: miracles,عقيدة: سيرة نبوية: معجزات
512,,literature: anecdotes,أدب: نوادر
513,,biography,تراجم
514,,literature: pre-Islamic poetry: Zuhayr b. Abī Sulmā,أدب: جاهلي: زهير بن ابي سلمي
515,,Sufism: orders: Tijaniyya: intercession,تصوف: طوق: تجانية: توسل
517,,Sufism: Ibn al-Fāriḍ: comportment,تصوف: ابن الفارض: سلوك
518,,history: travel,تاريخ: رحلة
519,,jurisprudence: transactions,فقه: معاملات
520,,esoteric sciences: numerology,باطنيات: حساب الجمل
521,,history: early years of Islam: khalifs,تاريخ: سلف: الخلفاء الراشدون
522,,literature: eulogy: Muhammad al-Hajj,أدب: مدح: محمد الحاج
524,,esoteric sciences: divination / casting lots,باطنيات: جفر/ استخارة
525,,esoteric sciences / medicine,باطنيات/ طب
526,,hadith: selections,حديث: مختارات
527,,Sufism: orders: Qadiriyya: sainthood,تصوف: طوق: قادرية: ولاية
528,,Sufism: spiritual tutelage,تصوف: تربية
529,,belief: foundations,عقيدة: أصول
530,,Sufism: orders: Tijaniyya:  polemic,تصوف: طوق: تجانية: جدل
531,,education: merits of learning,تربية: فضائل العلم
532,,esoteric sciences: medicine / miscellanea,باطنيات: طب / فوائد
533,,devotional: supererogatory acts,تحنث: نوافل
534,,Qurʾan: selections,قرآن: مختارات
535,,conduct,آداب
536,,jurisprudence: transactions: major sins,فقه: معاملات: كبائر
538,,hadith: selections: paradise,حديث: مختارات: جنة
539,,reform: Islamic government,تغيير المنكر: ولاية الاسلامية
540,,Sufism: orders: Tijaniyya: counsel,تصوف: طوق: تجانية: وصية
542,,hadith: selections: tobacco,حديث: مختارات: تاب
543,,Arabic language: rhetoric: letter-writing,لغة عربية: بلاغة: ترسل
544,,education: student conduct,تربية: آداب
545,,Sufism: orders: Tijaniyya: praise,تصوف: طوق: تجانية: مدح
546,,history: Nigeria: Sokoto,تاريخ: نيجيريا: سكوتو
547,,medicine: treatment,طب: علاج
548,,Sufism: orders: Tijaniyya: praise: Ahmad al-Tijani,تصوف: طوق: تجانية: مدح: أحمد التجاني
549,,education: curriculum,تربية: منهج
550,,reform: missionism,تغيير المنكر: دعوة
552,,jurisprudence: lawful & unlawful: innovation,فقه: الحلال والحرام: بدعة
553,,Sufism: orders: Qadiriyya,تصوف: طرق: القادرية
554,,Sufism: comportment,تصوف: سلوك
556,,Sufism: hagiography: Ahmad Tijani,تصوف: مناقب: أحمد التجاني
557,,Sufism: sainthood,تصوف: ولاية
560,,Sufism: orders: Tijaniyya: comportment,تصوف: طوق: تجانية: سلوك
562,,Sufism: eulogy: Ibn Nasir al-Darʿi,تصوف: مدح: ابن ناصر الدرعي
563,,jurisprudence: marriage: maintenance,فقه: نكاح: نفقة
564,,history: Nigeria: Kano,تاريخ: نيجيريا: كنو
567,,Qurʾan: text,قرآن: مصحف شريف
568,,conduct: conjugal relations,آداب: جماع
570,,belief: prophets,عقيدة: أنبياء
571,,literature: praise of kola nuts,أدب: مدح: جور
573,,jurisprudence: transactions: with unbelievers,فقه: معاملات: الكفار
574,,belief: exhortation: Psalms,عقيدة: وعظ: الزبور
575,,social matters: condolence,مجتمعية: تعزية
576,,education: chain of authority: Tijaniyya,تربية: سلسلة: تجانية
579,,hadith: Muslim,حديث: مسلم
580,,Sufism: principles,تصوف: قواعد
581,,Sufism / Qurʾan: exegesis,تصوف / قرآن: تفسير
582,,jurisprudence: duties: purification: funeral rites,فقه: عبادات: طهارة: جنانز
586,,hadith: Ahmad b. Hanbal,حديث: احمد بن حنبل
587,,hadith: selections: farming,حديث: مختارات: حراثة
589,,medicine: ophthalmology,طب: عيون
590,,jurisprudence: duties: declaration of intent,فقه: عبادات: نية
591,,politics: judiciary: rulerʾs,سياسة: قضاء: ملوك
592,,literature: pre-Islamic poetry: Tarafa b. alʿAbd,أدب: جاهلي: طرفة بن العبد
596,,social matters: greetings & news,مجتمعية: تحية وإخبار
597,,Sufism: orders: Qadiriyya: eulogy: ʿAbd al-Qadir al-Jaylani,تصوف: طوق: قادرية: مدح: عبد القادر الجيلاني
598,,literature: stories: Mūsa (Moses),أدب: قصص: النبي موسي
599,,Arabic language: rhetoric,لغة عربية: بلاغة
601,,social matters: Nigerian Pilgrim Society Ltd,مجتمعية:
602,,hadith: selections: women,حديث: مختارات: نساء
605,,Sufism: orders: Tijaniyya: hagiography,تصوف: طوق: تجانية: مناقب
606,,hadith: selections: marriage,حديث: مختارات: نكاح
607,,medicine: drugs,طب: عقاقير
608,,education: Azhar University,تربية: جامعة الازهر
609,,jurisprudence: adjudication: legal opinions: sanctions,فقه: قضاء: فتاوي: حدود
610,,literature: eulogy: Gamal ʿAbd al-Nasir,أدب: مدح: جمال عبد الناصر
611,,Sufism: orders: Tijaniyya: elegy,تصوف: طوق: تجانية: رثاء
613,,history: Nigeria: Kano: rulers,تاريخ: نيجيريا: كنو: ملوك
614,,Sufism: orders: Qadiriyya: litanies,تصوف: طوق: قادرية: أوراد
615,,devotional: counsel,تحنث: وصية
617,,Sufism: orders: Tijaniyya: eulogy: Ibrāhīm Niyās al-Kawlakhī,تصوف: طوق: تجانية: مدح: ابراهيم انياس
623,,education: license: Qurʾan,تربية: إجازة: قرآن
624,,history: events: birth dates,تاريخ: حوادث: الولادة
625,,literature: praise of farming,أدب: مدح: حراثة
626,,jurisprudence: duties: prayer: veil,فقه: عبادات: صلاة: سدل
627,,devotional: invocation: kola nuts,تحنث: أدعية: جور
629,,hadith: selections: Divine ordination,حديث: مختارات: قدر
630,,medicine: diet,طب: أطعمة (?)
631,,devotional: supererogatory acts: fasting,تحنث: نوافل: صيام
632,,devotional: intercession: Prophet Muhammad,تحنث: توسل: النبي محمد
634,,Sufism: orders: Zarruqiyya: litany,تصوف: طوق: زروقية: أوراد
635,,belief: debate: people of the Book,عقيدة: مناظرة: أهل الكتاب
636,,hadith: selections: eschatology,حديث: مختارات: علوم الآخرة
638,,hadith: selections: supererogatory acts,حديث: مختارات: نوافل
639,,hadith: selections: wives of the Prophet,حديث: مختارات: أزواج النبي
640,,hadith: selections: invocation,حديث: مختارات: أدعية
642,,literature: elegy: Muḥammad b. ʿAbd al-Muʾmin,أدب: رثاء: محمد بن عبد المؤمن
643,,Prophet Muhammad: events,سيرة نبوية: حوادث
645,,esoteric sciences: secrets (hidden meanings),باطنيات: أسرار
646,,literature: qaṣida,أدب: قصيدة
647,,Sufism: orders: Qadiriyya: intercession,تصوف: طوق: قادرية: توسل
648,,Sufism: orders: ʿArusiyya: counsel,تصوف: طوق: عروسية: وصية
649,,hadith: sciences of: weak hadith,حديث: علوم الحديث: الحديث الضعيف
650,,hadith: selections: ethics,حديث: مختارات: أخلاق
651,,Sufism: orders: Tijaniyya: thaumaturgy: Ibrāhīm Niyās al-Kawlakhī,تصوف: طوق: تجانية: كرامات: ابراهيم انياس
652,,Sufism: orders: Tijaniyya: eulogy: Abu Bakr ʿAtiq,تصوف: طوق: تجانية: مدح: أبو بكر عتيق
653,,Sufism: orders: Tijaniyya: intercession: Ahmad al-Tijani,تصوف: طوق: تجانية: توسل: احمد التجاني
654,,Sufism: orders: Tijaniyya: defense of,تصوف: طوق: تجانية: دفاع عن
657,,jurisprudence / conduct,فقه / آداب
658,,biography: family of ʿUmar Julya,تراجم: آل عمر جلي
660,,Sufism: orders: Tijaniyya: eulogy: Bin-ʿUmar,تصوف: طوق: تجانية: مدح: بنعمر
662,,hadith: selections: prayer,حديث: مختارات: صلاة
663,,Sufism: orders: Tijaniyya: elegy: Muhammad Salagha,تصوف: طوق: تجانية: مرثية: محمد سلغي
664,,jurisprudence: lawful & unlawful,فقه: الحلال والحرام
667,,literature: anecdotes: women and men,أدب: نوادر: النساء والرجال
668,,politics: dissention: Kano,سياسة: نزاعات: كنوا
669,,hadith: selections: adultery,حديث: مختارات: زنا
671,,belief: demons,عقيدة: شياطين
672,,belief: sects: Christians,عقيدة: فرق: المسيحية
673,,Sufism: thaumaturgy: ʿUthman b. Fudi (Usman dan Fodio),تصوف: كرامات: عثمان بن فودي
675,,hadith: selections: religious duties,حديث: مختارات: عبادات
676,,literature: eulogy: Amir Kutu,أدب: مدح: امير كوت
677,,geography: routes,جغرافيا: مسالك
678,,social matters: relationships: women,مجتمعية: علاقات: نساء
679,,Qurʾan: selections: sura al-Hujrat,قرآن: مختارات: سورة الحجرات
680,,jurisprudence: marriage: sermon,فقه: نكاح: خطبة
681,,literature: eulogy: Jibril b. ʿUmar,أدب: مدح: جبريل بن عمر
682,,devotional: supererogatory acts: prayer,تحنث: نوافل: صلاة
683,,jurisprudence: duties: fasting: laylat al-qadr,فقه: عبادات: صيام: ليلة القدر
685,,jurisprudence: duties: prayer: ʿId,فقه: عبادات: صلاة: عيد
686,,devotional: merits of the Companions,تحنث: فضائل الصحابة
689,,belief: exhortation: ʿIsa (Jesus),عقيدة: وعظ: النبي عيسي
690,,literature: stories: ʿIsa (Jesus),أدب: قصص: النبي عيسي
691,,Sufism: orders: Qadiriyya: sainthood: ʿAbd al-Qadir al-Jaylani,تصوف: طوق: قادرية: ولاية: عبد القادر الجيلاني
692,,Sufism: eulogy: ʿUmar b. Abi Bakr ʿAtiq,تصوف: مدح: عمر بن ابي بكر عتيق
694,,literature: eulogy: Aminu Kano,أدب: مدح: امين كنوا
695,,Qurʾan: selections: sura Yasin,قرآن: مختارات: سورة يس
697,,Sufism: orders: Tijaniyya: eulogy: Ḥammāh Allah (al-Tīshītī),تصوف: طوق: تجانية: مدح: حماه الله
698,,jurisprudence: lawful & unlawful: women,فقه: الحلال والحرام: نساء
699,,Qurʾan: exegesis: sura al-Ikhlas,قرآن: تفسير: سورة الاخلاص
701,,Sufism: orders: Qadiriyya: eulogy,تصوف: طوق: قادرية: مدح
705,,conduct: women,آداب: النساء
706,,Sufism: orders: Tijaniyya: stipulations,تصوف: طوق: تجانية: شروط
710,,literature: eulogy: Amir of Kano Sanusi,أدب: مدح: سنوسي أمير كنو
711,,jurisprudence: problems: stimulants: kola,فقه: مسائل: جور
712,,Sufism: orders: Tijaniyya: supplication,تصوف: طوق: تجانية: أدعية
713,,history: Nigeria: Hausaland,تاريخ: نيجيريا: بلاد هوسا
715,,hadith: selections: relations with unbelievers,حديث: مختارات: موالاة الكفار
716,,Qurʾan: orthography: diacritics (vowelization),قرآن: الخط وإملاء: مصحف
718,,Sufism: attachment to God,تصوف: جذب
719,,literature: stories: prophets,أدب: قصص: أنبياء
720,,"literature: eulogy: ʿAbd Allahi, Amir of Kano",أدب: مدح: عبد الله امير كنو
721,,conduct: guidance,آداب: إرشاد
723,,science: zoology: locusts,علوم: حيوان: جراد
725,,jurisprudence: marriage: celebration of newborn,فقه: نكاح: عقيقة
726,,jurisprudence: marriage: certification,فقه: النكاح: عقد
729,,belief: theology: prophecy,عقيدة: توحيد: نبوة
731,,belief: theology: revelation,عقيدة: توحيد: وحي
732,,literature: eulogy: Tijani,أدب: مدح: تجاني
734,,Sufism: orders: Tijaniyya: litany,تصوف: طوق: تجانية: أوراد
735,,Qurʾan: guide,قرآن: دليل
736,,Qurʾan,قرآن
738,,jurisprudence: lawful & unlawful: food,فقه: الحلال والحرم: أكل: شاي
741,,Qurʾan: recitation: reading,قرآن: تجويد: قرآت
742,,literature: eulogy: Kariyagiwa,أدب: مدح: كريغيوا
744,,hadith: selections: ethics: asceticism,حديث: مختارات: أخلاق: زهد
745,,reform: jihad,تغيير المنكر: جهاد
746,,ethics: filial piety,أخلاق: بر الوالدين
747,,ethics: comportment,أخلاق: سلوك
748,,jurisprudence: transactions: profits,فقه: معاملات: كسب
749,,genealogy: Gidado family,أنساب: آل غداد
750,,Sufism: thaumaturgy,تصوف: كرامات
751,,biography: ʿUthman b. Fudi,تراجم: عثمان بن فودي
752,,literature: poetry: collection: Muḥammad Bello,أدب: ديوان: محمد بل
753,,biography: Muhammad Salagha,تراجم: محمد سلغا
754,,biography: Mahmud b al-Hassan,تراجم: محمود بن الحسن
755,,Arabic language: grammar: primer,لغة عربية: نحو: قواعد
756,,Sufism: orders: Tijaniyya: tutelage,تصوف: طوق: تجانية: تربية
757,,Sufism: thaumaturgy: Tijaniyya,تصوف: كرامات: تجانية
758,,literature: poetry: praise,أدب: شعر: مدح
760,,Sufism: orders: Tijaniyya: dhikr,تصوف: طوق: تجانية: ذكر
763,,literature: elegy: Muḥammad Salagha,أدب: رثاء: محمد سلغ
764,,belief: sects,عقيدة: فرق
765,,jurisprudence: problems: prayer,فقه: مسائل: صلاة
766,,Sufism: orders: Qadiriyya: eulogy: Nasiru Kabara,تصوف: طوق: قادرية: مدح: الناصر الكبري
768,,belief / jurisprudence / Sufism,عقيدة / فقه / تصوف
769,,"Sufism: orders: Tijaniyya: muqaddams, appointment",تصوف: طوق: تجانية: تقديم
770,,Sufism: orders: Tijaniyya: ethics,تصوف: طوق: تجانية: أخلاق
771,,Sufism: orders: Tijaniyya: biography,تصوف: طوق: تجانية: تراجم
772,,Sufism: orders: ʿArusiyya,تصوف: طوق: عروسية
773,,ethics,أخلاق
774,,devotional: intercession: prophecy: names,تحنث: توسل: نبوة: أسماء
776,,Sufism: orders: defense of,تصوف: طرق: دفاع عن الطرق
778,,devotional: worship,تحنث: عبادة
780,,belief / conduct,عقيدة / آداب
781,,jurisprudence: lawful & unlawful: purdah,فقه: الحلال والحرام: خروج النساء
782,,reform: debate,تغيير المنكر: مناظرة
784,,politics: theory of government,سياسة: أحكام سلطانية
785,,history: Nigeria: Fika,تاريخ: نيجيريا: فيكة
786,,biography: Muhammad Sambo,تراجم: محمد ثمب
787,,history: Nigeria: Bornu,تاريخ: نيجيريا: برنو
791,,history: Nigeria,تاريخ: نيجيريا
792,,biography: Muʿallim Junayd,تراجم : معلم جنيد
794,,history: Nigeria: Sokoto: graves of Muhammad Belloʾs descendants,تاريخ: نيجيريا: سكوتو: مقبرة أبناء محمد بلو
796,,history: Nigeria: Gobir: rulers,تاريخ: نيجيريا: غوبر: ملوك
797,,history: Niger: Tuareg: Kel Owi,تاريخ: نيجير: الطوارق: كل أوي
798,,biography:ʿAbd Allah b. Fudi,تراجم: عبدالله فودي
800,,literature: eulogy: ʿUthmān b. Muḥammad Fūdī & Muḥammad Bello,أدب: مدح: عثمان بن فودي ومحمد بلو
802,,history: Niger: Sabin Birn,تاريخ: النيجر: سابن برن
803,,history: Niger: Ahir,تاريخ: نيجر: آهير
804,,history: Nigeria: Sokoto: ʿUthman dan Fodio,تاريخ: نيجيريا: سكوتو: عثمان بن فودي
805,,history: Nigeria: Sokoto: names of ʿUthman dan Fodioʾs followers,تاريخ: نيجيريا: سكوتو: أسماء جماعة عثمان فودي
806,,history: Nigeria: Sokoto: descendants of ʿAbd Allah Fudi,تاريخ: نيجيريا: سكوتو: أبناء عبد الله فودي
807,,history: Nigeria: Sokoto: graves of ʿUthman dan Fodioʾs descendants,تاريخ: نيجيريا: سكوتو: مفبرة أبناء عثمان فودي
808,,history: Nigeria: Gwandu: graves,تاريخ: نيجيريا: غندو: مقبرة
809,,history: Niger: Minu,تاريخ: النيجر: مينو
810,,history: Nigeria: Kebbi: rulers,تاريخ: نيجريا: كبي: ملوك
811,,history: Nigeria: Fulani,تاريخ: نيجريا: الفلانيين
812,,history: Niger: Zaberma: genealogy,تاريخ: نيجير: الزبرما: أنساب
813,,history: genealogy: Fulani,تاريخ: أنساب: الفلانيين
814,,devotional: counsel: tomb visitation: grave of Muhammad Bello,تحنث: إرشاد: زيارة قبر محمد بلو
815,,history: Niger: Tuareg: Adar,تاريخ: نيجير: الطوارق: آدر
816,,history: Nigeria: Zaria,تاريخ: نيجيريا: زاريا
817,,history: Nigeria: Dawra,تاريخ: نيجيريا: دورا
818,,history: Mali: Segu,تاريخ: مالي: سيغو
819,,history: Niger: Bilma,تاريخ: نيجير: بلما
820,,belief: prophets: Mūsa (Moses),عقيدة: أنبياء: موسي
821,,history: Niger: Zinder,تاريخ: نيجير: زندر
822,,history: geneology: Tuareg,تاريخ: أنساب: الطوارق
824,,history: Niger: Damergu,تاريخ: نيجير: دامرغو
826,,history: Niger: Agades,تاريخ: نيجر: أغدز
827,,history: Niger: Tuareg: Ahir,تاريخ: نيجير: الطوارق: آهير
829,,history: Niger: Tuareg: Kawsin,تاريخ: نيجير: الطوارق: كاوسن
830,,history: Niger: Takedda,تاريخ: نيجير: تكدا
831,,politics: allegiance: oath,سياسة: مبايعة: أيمان
832,,history: Niger: Tuareg: Ahir: Aghmabal,تاريخ: نيجير: الطوارق: آهير: أغمبل
833,,history: Niger: Agades: graves,تاريخ: نيجر: أغدز: مقبرة
834,,history: Niger: Songhay / Ahir: Askia Muhammad,تاريخ: نيجير: سنغاي / آهير: اسكيا محمد
835,,history: Maghrib,تاريخ: المغرب
836,,history: Niger: Tuareg,تاريخ: نيجير: الطوارق
837,,history: Niger: Ahir and Agades,تاريخ: نيجر: آهير وأغدز
840,,literature: eulogy: Tuareg,أدب: مدح: الطوارق
841,,unknown,مجهول
843,,history: Fulani,تاريخ: الفلانيين
844,,history: Niger: Adar,تاريخ: نيجير: آدر
845,,history: Mali: Liptako: rulers,تاريخ: مالي: لبتاكو: ملوك
846,,politics: Tuareg and Songhay,سياسة: الطوارق وسنغاي
847,,history: campaigns of al-J.r.n.d.b b. Kakil,تاريخ: غزوات الجرندب بن كاكل
848,,history: Mauritania: Wadan,تاريخ: موريتانية: ودان
849,,history: Mauritania: al-baydan,تاريخ: موريتانية: البيضان
852,,history: Bilad al-Sudan: Takrur & Askiya Ishaq,تاريخ: بلاد السودان: تكرور واسكيا اسحاق
855,,jurisprudence: slaves: Askiya Muhammad,فقه: عبيد: اسكيا محمد
856,,biography: Ahmad b. ʿAbd Allah Abu Bakr,تراجم: أحمد بن عبد الله أبو بكر
857,,belief: prophets: narratives,عقيدة: أنبياء: قصص
858,,history: Fulani: Liptako / Dawra / Humburi,تاريخ: الفلانيين: لبتاكو / دور / همبور
859,,jurisprudence: adjudication: slaves,فقه: قضاء: عبيد
860,,history: Bilad al-Sudan,تاريخ: بلاد السودان
861,,history: Mali: Azawad and Timbuktu,تاريخ: مالي: أزواد و تنبكتو
862,,politics: al-Maghili and Askiya Muhammad,سياسة: اسكيا محمد والمغيلي التلمسان
863,,biography: Askiya Muhammad,تراجم: الحاج اسكيا
864,,history: Burkina Faso: Mossi: rulers,تاريخ: بركينا فاسو: موش: ملوك
867,,history: Nigeria: Adamawa,تاريخ: نيجيريا: ادماوا
868,,biography: Muhammad al-Abyad,تراجم: محمد الأبيض
872,,Sufism: biography: Jaylani and his contemporaries,تصوف: تراجم: الجيلاني ومعاصروه
873,,literature: poetry,أدب: شعر
874,,Arabic language: orthography,لغة عربية: إملاء
875,,biography: al-Lamtuni,تراجم: اللمتون
876,,literature: poetry: Mauritania,أدب: شعر: موريتانيا
877,,history: Mauritania: al-zawaya,تاريخ: موريتانية: الزوايا
881,,belief: prophets: Muhammad and Yusuf (Joseph),عقيدة: أنبياء: محمد ويوسف
884,,biography: Hajj Muhammad Marhaba,تراجم: الحاج محمد مرحبا
886,,jurisprudence: duties: purification: child birth,فقه: عبادات: طهارة: نفاس
888,,politics: Tuareg in the Azawad,سياسة: الطوارق في أزواد
889,,jurisprudence: transactions: binding stipiulations(?),فقه: معاملأت: الشروط اللازمة
890,,history: Niger: Zaberma,تاريخ: نيجر: الزبرما
893,,history: early years of Islam: ʿUmayyads,تاريخ: سلف: أمويين
894,,Sufism / belief: Sidi Ahmad b. Mandil,تصوف/عقيدة: سيد أحمد بن منديل
896,,history: Niger: Tera,تاريخ: نيجير: تيرا
897,,devotional: sermon,تحنث: خطبة
898,,reform: debate: Muhammad Bello and ʿAbd al-Salam,تغيير المنكر: مناظرة: محمد بلو وعبدالسلام
899,,history: Berber & Tuareg: Imashaghan,تاريخ: البربر والطوارق: إماشغن
900,,history: Nigeria: Hausaland: classification of people by degree of Islam,تاريخ: نيجيريا: بلاد هوسا: تصنيف القبائل بالاسلام
901,,reform: hijra,تغيير المنكر: هجرة
904,,history: Bilad al-Sudan / reform: jihad,تاريخ: بلاد السودان / تغيير المنكر: جهاد
905,,history: Berber & Tuareg,تاريخ: البربر والطوارق
906,,"jurisprudence: adjudication: infidels, relations with",فقه: قضاء: معاملة غير المسلمين
907,,medicine,طب
908,,history: geneology: Nurubi,تاريخ: أنساب: النوروبي
909,,history: Nigeria: Gwandu,تاريخ: نيجيريا: غندو
910,,jurisprudence: problems: Ibn Hazim,فقه: مسائل: ابن حازم
912,,literature: tashṭīr,أدب: تشطير
913,,esoteric sciences: demonology,باطنيات: خواف
915,,Qurʾan: exegesis: al-Waqiʿah,قرآن: تفسير: الواقعة
916,,devotional: characteristics of the Prophet,تحنث: خصائص نبوية
918,,literature: poetry: Muhammad Marhaba,أدب: شعر: محمد مرحبا
919,,history: Niger: Labanduk,تاريخ: نيجير: لبندوك
920,,history: Mali: Songhay: Muhammad Askia,تاريخ: مالي: سنغاي: محمد اسكيا
921,,literature: poetry: al-Subki,أدب: شعر: السبكي
922,,Prophet Muhammad: letters,سيرة نبوية: رسائل
923,,literature: poetry: Yahudha b. Saʿd al-Maghribi,أدب: شعر: يهوذا بن سعد المغربي
924,,literature: poetry: al-Akhdari,أدب: شعر: الأخضري
925,,Sufism: piety: work ethic,تصوف: تقوى: الحث علي العمل
926,,politics: Abi Bakr b. Muhammad Amasil & ʾulamaʾ of Ahir,سياسة: أبي بكر بن محمد اماصيل وامراء آهير
927,,biography: Muhammad Bello: companions,تراجم: محمد بلو: اصحاب
928,,biography: Emirs of Kuntashi (?),تراجم: أمراء كنتشي
929,,social matters: diverse,مجتمعية: متعدد
931,,biography: Hausa kings,تراجم: ملوك الحوسا
933,,history: Nigeria: Kebbi & Dusu,تاريخ: نيجيريا: كبي ودوسو
934,,history: Nigeria: Kanuri,تاريخ: نيجيريا:: الكانوري
935,,history: Nigeria: Rabih,تاريخ: نيجيريا: رابه
936,,biography: Masfirma ʿUmar b. ʿUthman (sic),تراجم: مسفرما عمر بن عثمان
937,,history: events: colonialism: treaty,تاريخ: حوادث: إستعمار: معاهدات
938,,history: Niger,تاريخ: النيجر
939,,literature / jurisprudence / history,مخطوط: متفرقات
941,,education: curriculum: the eminent,تربية: منهاج: الأعيان
942,,literature: poetry: ʿAbd Allah Fudi,أدب: شعر: عبدالله فودي
943,,geneology: Berber,نساب: بربر
945,,jurisprudence: lawful & unlawful: bribery,فقه: الحلال والحرام: رشوة
946,,biography: collective: the eminent: Kong,تراجم: جماعية: أعيان: علماء: كنغ
947,,biography: Aḥmad al-Bakkāʿī,تراجم: السيد أحمد البكاي
948,,politics: counsel: Kel Antasar,سياسة: شورى: كل انتصر
949,,social matters: counsel: students,مجتمعية: شورى: تلامذت
951,,social matters: counsel,مجتمعية: شورى
952,,history: Niger: Tuareg: rulers,تاريخ: نيجير: الطوارق: أمراء
954,,medicine: Qurʾanic cures,طب: استشفاء بالقرآن
955,,history: pre-Islamic: rulers,تاريخ: قحطان: ملوك
957,,belief: theology / Sufism,عقيدة: توحيد / تصوف
959,,politics: accusations: Aḥmad al-Bakkāʿī & Ahmad Ahmadu al-Fulani,سياسة: إتهام: أحمد البكاي وأحمد أحمد الفلاني
960,,jurisprudence: problems: the dead and women,فقه: مسائل: الأموات والحريم
961,,literature: study of: arts,أدب: دراسة: الفنون
962,,history: world,تاريخ: العالم
963,,logic: principles,منطق: أصول
964,,history: Africa,تاريخ: إفريقيا
966,,biography: Alfa Hashim al-Fulani,تراجم: ألفي هاشم الفلاني
967,,encyclopedia: Libya,موسوعة: ليبيا
968,,history: Fezzan,تاريخ: فزان
969,,history: Africa and Andalus,تاريخ: إفريقيا والأندلس
970,,history: geneology: Hasaniyya,تاريخ: أنساب: الحسنية
971,,literature: poetry: Qurtubi,أدب: شعر: القرطبي
972,,literature: prosody: takhmīs: Aḥmad Abī Bakr,أدب: عروض: تخميس: أحمد أبي بكر
973,,literature: eulogy: Muhammad b. Nasir,أدب: مدح: محمد بن ناصر
974,,Qurʾan: exegesis: Alam Nashrah,قرآن: تفسير: ألم نشرح
976,,literature: western,أدب: غربي
977,,politics: greetings: French ambassador & President of Niger,سياسة:إستعمار: تحيات: سفير فرنسا ورئيس النيجر
978,,Prophet Muhammad: campaigns: conquest of Mecca,سيرة نبوية: غزوات: فتح مكة
981,,Sufism: principles: Shaykh al-Dumyati,تصوف: قواعد: الشيخ الدمياطي
984,,conduct: admonitions,آداب: نصائح
985,,Arabic language: grammar / morphology,لغة عربية: نحو /  صرف
986,,"jurisprudence: adjudication: marriage: conception, period for",فقه: قضاء: نكاح: مدو الحمل
987,,jurisprudence: adjudication: marriage,فقه: قضاء: نكاح
989,,devotional: sermon: Id,تحنث: خطبة: عيد
992,,jurisprudence: adjudication / history: Sahara,فقه: قضاء / تاريخ: الصحراء
993,,hadith: collection: Tirmidhī,حديث: تدوين: الترمذي
994,,biography: Muhammad Bello,تراجم: محمد بلو
995,,literature: elegy: ʿUthmān b. Muḥammad Fūdī (Usman Dan Fodio),أدب: رثاء: عثمان بن فودي
996,,esoteric sciences: charms / magic,باطنيات: رقي / سحر
997,,literature: stories: Dauwd,أدب: قصص: داود
998,,belief: sects: Jews,عقيدة: فرق: اليهود
999,,Prophet Muhammad: genealogy,سيرة نبوية: أنساب
1000,,Qurʾan: exegesis: obscure words,قرآن: تفسير: غريب
1001,,jurisprudence / history: Andalus,فقه / تاريخ: أندلوس
1002,,Arabic language / Sufism,لغة عربية / تصوف
1003,,biography: collective,تراجم: جماعية
1006,,genealogy: ʿAbd al-Qādir al-Jaylānī,أنساب: عبد القادرالجيلاني
1007,,history: Mali: Massina,تاريخ: مالي: ماسينا
1009,,Sufism: thaumaturgy: Ahmad al-Tijani,تصوف: كرامات: أحمد التجانية
1010,,literature: eulogy: Sidi al-Anam,أدب: مدح: سيد الانام
1011,,education,تربية
1014,,literature: elegy: ʿUmar b. Saʿīd al-Fūtī (al-Ḥājj ʿUmar),أدب: رثاء: عمر بن سعيد الفوتي
